SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
F64s v2,v2,2522.88,2289.28,2242.56,2265.92,1975.3799999999999,1975.3799999999999,2476.16,1975.3799999999999
F72s v2,v2,2838.24,2575.44,2522.88,2549.16,2222.85,2222.85,2785.68,2222.85
F8s v2,v2,315.36,286.16,280.32,283.24,246.74,246.74,309.52,246.74
HB120rs v2,v2,,,,3416.3999999999996,,,,
L16s v2,v2,,1092.08,1004.4799999999999,1086.24,911.04,911.04,1004.4799999999999,911.04
L32s v2,v2,,,2008.9599999999998,,,,2008.9599999999998,
L48s v2,v2,,3276.2400000000002,,3258.7200000000003,2733.1200000000003,2733.1200000000003,3013.44,2733.1200000000003
L64s v2,v2,,,4017.9199999999996,,,,4017.9199999999996,
L80s v2,v2,,5460.400000000001,5022.4,5431.200000000001,4555.2,4555.2,5022.4,4555.2
L8s v2,v2,,546.04,502.23999999999995,543.12,455.52,455.52,502.23999999999995,455.52
L96s v2,v2,,,,,,,6026.88,
M208ms v2,v2,,42344.38,39087.119999999995,42344.38,32572.6,32572.6,,32572.6
M208s v2,v2,,21172.19,19543.559999999998,21172.19,16286.3,16286.3,,16286.3
M416ms v2,v2,,94097,86855.40000000001,94097,72379.5,72379.5,,72379.5
M416s v2,v2,,47051.42,43432.08,47051.42,36193.4,36193.4,,36193.4
NC12s v2,v2,,4436.21,,3915.72,3022.2,,,3022.2
NC24rs v2,v2,,9759.369999999999,,8616.92,6648.84,,,6648.84
NC24s v2,v2,,8871.69,,7831.44,6044.4,,,6044.4
NC6s v2,v2,,2217.74,,1957.86,1511.1,,,1511.1
ND40rs v2,v2,,,,20093.98,16083.36,,,16083.36
ND40s v2,v2,21319.649999999998,17057.18,,13161.900000000001,8935.2,,,
NV12s v2,v2,,,,,,,1119.82,
NV24s v2,v2,,,,,,,2240.37,
NV6s v2,v2,,,,,,,559.91,
D16 v3,v3,770.88,730,624.88,700.8,560.64,560.64,683.2800000000001,560.64
D16s v3,v3,770.88,730,624.88,700.8,560.64,560.64,683.2800000000001,560.64
D2 v3,v3,96.36,91.25,78.11,87.6,70.08,70.08,85.41000000000001,70.08
D2s v3,v3,96.36,91.25,78.11,87.6,70.08,70.08,85.41000000000001,70.08
D32 v3,v3,1541.76,1460,1249.76,1401.6,1121.28,1121.28,1366.5600000000002,1121.28
D32s v3,v3,1541.76,1460,1249.76,1401.6,1121.28,1121.28,1366.5600000000002,1121.28
D4 v3,v3,192.72,182.5,156.22,175.2,140.16,140.16,170.82000000000002,140.16
D48 v3,v3,2312.6400000000003,2190,1874.64,2102.4,1681.9199999999998,1681.9199999999998,2049.8399999999997,1681.9199999999998
D48s v3,v3,2312.6400000000003,2190,1874.64,2102.4,1681.9199999999998,1681.9199999999998,2049.8399999999997,1681.9199999999998
D4s v3,v3,192.72,182.5,156.22,175.2,140.16,140.16,170.82000000000002,140.16
D64 v3,v3,3083.52,2920,2499.52,2803.2,2242.56,2242.56,2733.1200000000003,2242.56
D64s v3,v3,3083.52,2920,2499.52,2803.2,2242.56,2242.56,2733.1200000000003,2242.56
D8 v3,v3,385.44,365,312.44,350.4,280.32,280.32,341.64000000000004,280.32
D8s v3,v3,385.44,365,312.44,350.4,280.32,280.32,341.64000000000004,280.32
E16 v3,v3,975.2800000000001,934.4,823.4399999999999,934.4,735.84,776.72,817.6,735.84
E16s v3,v3,975.2800000000001,934.4,823.4399999999999,934.4,735.84,776.72,817.6,735.84
E2 v3,v3,121.91000000000001,116.8,102.92999999999999,116.8,91.98,97.09,108.03999999999999,91.98
E20 v3,v3,1219.1,1168,1029.3,1168,919.8,1065.8,1080.4,919.8
E20s v3,v3,1219.1,1168,1029.3,1168,919.8,1065.8,1080.4,919.8
E2s v3,v3,121.91000000000001,116.8,102.92999999999999,116.8,91.98,97.09,108.03999999999999,91.98
E32 v3,v3,1950.5600000000002,1868.8,1646.8799999999999,1868.8,1471.68,1553.44,1635.2,1471.68
E32s v3,v3,1950.5600000000002,1868.8,1646.8799999999999,1868.8,1471.68,1553.44,1635.2,1471.68
E4 v3,v3,243.82000000000002,233.6,205.85999999999999,233.6,183.96,194.18,216.07999999999998,183.96
E48 v3,v3,2925.84,2803.2,2470.3199999999997,2662.31,2207.52,2207.52,2452.7999999999997,2207.52
E48s v3,v3,2925.84,2803.2,2470.3199999999997,2662.31,2207.52,2207.52,2452.7999999999997,2207.52
E4s v3,v3,243.82000000000002,233.6,205.85999999999999,233.6,183.96,194.18,216.07999999999998,183.96
E64 v3,v3,3511.2999999999997,3364.57,2964.5299999999997,3194.48,2649.17,2649.17,2943.36,2649.17
E64i v3,v3,3511.2999999999997,3364.57,2964.5299999999997,3194.48,2649.17,2649.17,2943.36,2649.17
E64is v3,v3,3511.2999999999997,3364.57,2964.5299999999997,3194.48,2649.17,2649.17,2943.36,2649.17
E64s v3,v3,3511.2999999999997,3364.57,2964.5299999999997,3194.48,2649.17,2649.17,2943.36,2649.17
E8 v3,v3,487.64000000000004,467.2,411.71999999999997,467.2,367.92,388.36,408.8,367.92
E8s v3,v3,487.64000000000004,467.2,411.71999999999997,467.2,367.92,388.36,408.8,367.92
NC12s v3,v3,,6181.64,,5581.58,4467.6,4467.6,,4467.6
NC24rs v3,v3,,13599.9,,12279.330000000002,9828.720000000001,9828.720000000001,,9828.720000000001
NC24s v3,v3,,12363.28,,11163.16,8935.2,8935.2,,8935.2
NC6s v3,v3,,3090.82,,2790.79,2233.8,2233.8,,2233.8
NV12s v3,v3,,1160.7,883.3,1040.98,832.1999999999999,,832.1999999999999,832.1999999999999
NV24s v3,v3,,2321.4,1766.6,2080.5,1664.3999999999999,,1664.3999999999999,1664.3999999999999
NV48s v3,v3,,4642.8,3531.7400000000002,4161,3328.7999999999997,,3328.7999999999997,3328.7999999999997
D16a v4,v4,,700.8,624.88,671.6,560.64,560.64,,560.64
D16as v4,v4,,700.8,624.88,671.6,560.64,560.64,,560.64
D2a v4,v4,,87.6,78.11,83.95,70.08,70.08,,70.08
D2as v4,v4,,87.6,78.11,83.95,70.08,70.08,,70.08
D32a v4,v4,,1401.6,1249.76,1343.2,1121.28,1121.28,,1121.28
D32as v4,v4,,1401.6,1249.76,1343.2,1121.28,1121.28,,1121.28
D48a v4,v4,,2102.4,1874.64,2014.8,1681.9199999999998,1681.9199999999998,,1681.9199999999998
D48as v4,v4,,2102.4,1874.64,2014.8,1681.9199999999998,1681.9199999999998,,1681.9199999999998
D4a v4,v4,,175.2,156.22,167.9,140.16,140.16,,140.16
D4as v4,v4,,175.2,156.22,167.9,140.16,140.16,,140.16
D64a v4,v4,,2803.2,2499.52,2686.4,2242.56,2242.56,,2242.56
D64as v4,v4,,2803.2,2499.52,2686.4,2242.56,2242.56,,2242.56
D8a v4,v4,,350.4,312.44,335.8,280.32,280.32,,280.32
D8as v4,v4,,350.4,312.44,335.8,280.32,280.32,,280.32
D96a v4,v4,,4204.8,3749.28,4029.6,3363.8399999999997,3363.8399999999997,,3363.8399999999997
D96as v4,v4,,4204.8,3749.28,4029.6,3363.8399999999997,3363.8399999999997,,3363.8399999999997
E16a v4,v4,,887.68,823.4399999999999,887.68,735.84,735.84,,735.84
E16as v4,v4,,887.68,823.4399999999999,887.68,735.84,735.84,,735.84
E20a v4,v4,,1109.6,1029.3,1109.6,919.8,919.8,,919.8
E20as v4,v4,,1109.6,1029.3,1109.6,919.8,919.8,,919.8
E2a v4,v4,,110.96,102.92999999999999,110.96,91.98,91.98,,91.98
E2as v4,v4,,110.96,102.92999999999999,110.96,91.98,91.98,,91.98
E32a v4,v4,,1775.36,1646.8799999999999,1775.36,1471.68,1471.68,,1471.68
E32as v4,v4,,1775.36,1646.8799999999999,1775.36,1471.68,1471.68,,1471.68
E48a v4,v4,,2663.04,2470.3199999999997,2663.04,2207.52,2207.52,,2207.52
E48as v4,v4,,2663.04,2470.3199999999997,2663.04,2207.52,2207.52,,2207.52
E4a v4,v4,,221.92,205.85999999999999,221.92,183.96,183.96,,183.96
E4as v4,v4,,221.92,205.85999999999999,221.92,183.96,183.96,,183.96
E64a v4,v4,,3550.72,3293.7599999999998,3550.72,2943.36,2943.36,,2943.36
E64as v4,v4,,3550.72,3293.7599999999998,3550.72,2943.36,2943.36,,2943.36
E8a v4,v4,,443.84,411.71999999999997,443.84,367.92,367.92,,367.92
E8as v4,v4,,443.84,411.71999999999997,443.84,367.92,367.92,,367.92
E96a v4,v4,,5326.08,4940.639999999999,5326.08,4415.04,4415.04,,4415.04
E96as v4,v4,,5326.08,4940.639999999999,5326.08,4415.04,4415.04,,4415.04
NV16s v4,v4,,,,425.59,340.18,,,
NV32s v4,v4,,,,850.45,680.36,,,
NV4s v4,v4,,,,106.58,84.68,,,
NV8s v4,v4,,,,212.42999999999998,170.09,,,
