SKU,Version,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
NV12s v2,v2,,,,,,,1321.3,
NV6s v2,v2,,,,,,,660.65,
D16 v3,v3,1308.16,1267.28,1162.16,1238.08,1097.92,1097.92,1220.56,1097.92
D16s v3,v3,1308.16,1267.28,1162.16,1238.08,1097.92,1097.92,1220.56,1097.92
D2 v3,v3,163.52,158.41,145.27,154.76,137.24,137.24,152.57,137.24
D2s v3,v3,163.52,158.41,145.27,154.76,137.24,137.24,152.57,137.24
D32 v3,v3,2616.32,2534.56,2324.32,2476.16,2195.84,2195.84,2441.12,2195.84
D32s v3,v3,2616.32,2534.56,2324.32,2476.16,2195.84,2195.84,2441.12,2195.84
D4 v3,v3,327.04,316.82,290.54,309.52,274.48,274.48,305.14,274.48
D48 v3,v3,3924.48,3801.84,3486.48,3714.2400000000002,3293.7599999999998,3293.7599999999998,3661.68,3293.7599999999998
D48s v3,v3,3924.48,3801.84,3486.48,3714.2400000000002,3293.7599999999998,3293.7599999999998,3661.68,3293.7599999999998
D4s v3,v3,327.04,316.82,290.54,309.52,274.48,274.48,305.14,274.48
D64 v3,v3,5232.64,5069.12,4648.64,4952.32,4391.68,4391.68,4882.24,4391.68
D64s v3,v3,5232.64,5069.12,4648.64,4952.32,4391.68,4391.68,4882.24,4391.68
D8 v3,v3,654.08,633.64,581.08,619.04,548.96,548.96,610.28,548.96
D8s v3,v3,654.08,633.64,581.08,619.04,548.96,548.96,610.28,548.96
E16 v3,v3,1512.56,1471.68,1360.72,1471.68,1273.12,1314,1354.88,1273.12
E16s v3,v3,1512.56,1471.68,1360.72,1471.68,1273.12,1314,1354.88,1273.12
E2 v3,v3,189.07,183.96,170.09,183.96,159.14,164.25,175.2,159.14
E20 v3,v3,1890.6999999999998,1839.6,1700.9,1839.6,1591.4,1810.4,1752,1591.4
E20s v3,v3,1890.6999999999998,1839.6,1700.9,1839.6,1591.4,1810.4,1752,1591.4
E2s v3,v3,189.07,183.96,170.09,183.96,159.14,164.25,175.2,159.14
E32 v3,v3,3025.12,2943.36,2721.44,2943.36,2546.24,2628,2709.76,2546.24
E32s v3,v3,3025.12,2943.36,2721.44,2943.36,2546.24,2628,2709.76,2546.24
E4 v3,v3,378.14,367.92,340.18,367.92,318.28,328.5,350.4,318.28
E48 v3,v3,4537.68,4415.04,4082.16,4274.150000000001,3819.36,3819.36,4064.64,3819.36
E48s v3,v3,4537.68,4415.04,4082.16,4274.150000000001,3819.36,3819.36,4064.64,3819.36
E4s v3,v3,378.14,367.92,340.18,367.92,318.28,328.5,350.4,318.28
E64 v3,v3,5660.42,5513.69,5113.65,5343.6,4798.29,4798.29,5092.48,4798.29
E64i v3,v3,5660.42,5513.69,5113.65,5343.6,4798.29,4798.29,5092.48,4798.29
E64is v3,v3,5660.42,5513.69,5113.65,5343.6,4798.29,4798.29,5092.48,4798.29
E64s v3,v3,5660.42,5513.69,5113.65,5343.6,4798.29,4798.29,5092.48,4798.29
E8 v3,v3,756.28,735.84,680.36,735.84,636.56,657,677.44,636.56
E8s v3,v3,756.28,735.84,680.36,735.84,636.56,657,677.44,636.56
NC12s v3,v3,,6584.599999999999,,5984.54,5004.88,4877.568,,4877.568
NC24rs v3,v3,,14486.12,,13166.28,11010.59,10648.655999999999,,10648.655999999999
NC24s v3,v3,,13169.199999999999,,11969.08,10009.76,9755.136,,9755.136
NC6s v3,v3,,3292.2999999999997,,2992.27,2502.44,2438.784,,2438.784
NV12s v3,v3,,1563.6599999999999,1286.26,1443.94,1235.1599999999999,,1235.1599999999999,1235.1599999999999
NV24s v3,v3,,3127.3199999999997,2572.52,2886.42,2470.3199999999997,,2470.3199999999997,2470.3199999999997
NV48s v3,v3,,6254.639999999999,5143.58,5772.84,4940.639999999999,,4940.639999999999,4940.639999999999
D16a v4,v4,,1238.08,1162.16,1208.8799999999999,1097.92,1097.92,,1097.92
D16as v4,v4,,1238.08,1162.16,1208.8799999999999,1097.92,1097.92,,1097.92
D2a v4,v4,,154.76,145.27,151.10999999999999,137.24,137.24,,137.24
D2as v4,v4,,154.76,145.27,151.10999999999999,137.24,137.24,,137.24
D32a v4,v4,,2476.16,2324.32,2417.7599999999998,2195.84,2195.84,,2195.84
D32as v4,v4,,2476.16,2324.32,2417.7599999999998,2195.84,2195.84,,2195.84
D48a v4,v4,,3714.2400000000002,3486.48,3626.64,3293.7599999999998,3293.7599999999998,,3293.7599999999998
D48as v4,v4,,3714.2400000000002,3486.48,3626.64,3293.7599999999998,3293.7599999999998,,3293.7599999999998
D4a v4,v4,,309.52,290.54,302.21999999999997,274.48,274.48,,274.48
D4as v4,v4,,309.52,290.54,302.21999999999997,274.48,274.48,,274.48
D64a v4,v4,,4952.32,4648.64,4835.5199999999995,4391.68,4391.68,,4391.68
D64as v4,v4,,4952.32,4648.64,4835.5199999999995,4391.68,4391.68,,4391.68
D8a v4,v4,,619.04,581.08,604.4399999999999,548.96,548.96,,548.96
D8as v4,v4,,619.04,581.08,604.4399999999999,548.96,548.96,,548.96
D96a v4,v4,,7428.4800000000005,6972.96,7253.28,6587.5199999999995,6587.5199999999995,,6587.5199999999995
D96as v4,v4,,7428.4800000000005,6972.96,7253.28,6587.5199999999995,6587.5199999999995,,6587.5199999999995
E16a v4,v4,,1424.96,1360.72,1424.96,1273.12,1273.12,,1273.12
E16as v4,v4,,1424.96,1360.72,1424.96,1273.12,1273.12,,1273.12
E20a v4,v4,,1781.2,1700.9,1781.2,1591.4,1591.4,,1591.4
E20as v4,v4,,1781.2,1700.9,1781.2,1591.4,1591.4,,1591.4
E2a v4,v4,,178.12,170.09,178.12,159.14,159.14,,159.14
E2as v4,v4,,178.12,170.09,178.12,159.14,159.14,,159.14
E32a v4,v4,,2849.92,2721.44,2849.92,2546.24,2546.24,,2546.24
E32as v4,v4,,2849.92,2721.44,2849.92,2546.24,2546.24,,2546.24
E48a v4,v4,,4274.88,4082.16,4274.88,3819.36,3819.36,,3819.36
E48as v4,v4,,4274.88,4082.16,4274.88,3819.36,3819.36,,3819.36
E4a v4,v4,,356.24,340.18,356.24,318.28,318.28,,318.28
E4as v4,v4,,356.24,340.18,356.24,318.28,318.28,,318.28
E64a v4,v4,,5699.84,5442.88,5699.84,5092.48,5092.48,,5092.48
E64as v4,v4,,5699.84,5442.88,5699.84,5092.48,5092.48,,5092.48
E8a v4,v4,,712.48,680.36,712.48,636.56,636.56,,636.56
E8as v4,v4,,712.48,680.36,712.48,636.56,636.56,,636.56
E96a v4,v4,,8549.76,8164.32,8549.76,7638.72,7638.72,,7638.72
E96as v4,v4,,8549.76,8164.32,8549.76,7638.72,7638.72,,7638.72
NV16s v4,v4,,,,694.23,608.8199999999999,,,
NV32s v4,v4,,,,1387.73,1217.6399999999999,,,
NV4s v4,v4,,,,173.73999999999998,151.84,,,
NV8s v4,v4,,,,346.75,304.40999999999997,,,
