SKU,Region,PerMonth,SubCategory,EffectiveDate
1 PB Pre-pay Data at Rest,EU West,699387.0966800001,,04/01/2017 00:00:00
1 TB Pre-pay Data at Rest,EU West,847.7416999999999,,04/01/2017 00:00:00
10 TB Pre-pay Data at Rest,EU West,8006.45093,,04/01/2017 00:00:00
100 TB Pre-pay Data at Rest,EU West,75354.83838,,04/01/2017 00:00:00
5 PB Pre-pay Data at Rest,EU West,3496935.4834,,04/01/2017 00:00:00
500 TB Pre-pay Data at Rest,EU West,350870.96752999997,,04/01/2017 00:00:00
Pay-as-you-go Data at Rest,AP Southeast,30.66,,03/14/2018 00:00:00
Read Transactions,AP Southeast,292,,03/14/2018 00:00:00
Write Transactions,AP Southeast,3650,,03/14/2018 00:00:00
