SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
K80 vGPU Duration,GPU,,9.49,8.76,9.49,7.3,,,7.3
Memory Duration,,5.0297,4.0369,3.2485,3.7303,3.2485,3.2485,3.7303,3.2485
Memory Duration,GPU,,0.11242,0.10366,0.11242,0.08614,,,0.08614
P100 vGPU Duration,GPU,,23.141,21.389,23.141,17.812,,,17.812
V100 vGPU Duration,GPU,,75.19,69.49600000000001,75.19,57.888999999999996,,,57.888999999999996
vCPU Duration,,44.675999999999995,36.938,29.565,34.018,29.565,29.565,34.018,29.565
vCPU Duration,GPU,,0.8395,0.7737999999999999,0.8395,0.64167,,,0.64167
