SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
100 DWUs,Compute Optimized Gen2,1501.2450000000001,1321.3,1014.6999999999999,1102.3,1102.3,876,1102.3,876
100 DWUs,Compute Optimized Gen1,1501.2450000000001,1324.658,1015.576,1103.833,1103.833,883.081,1103.833,883.081
Data Stored,Storage,108536.40000000001,98674.09999999999,98674.09999999999,108536.40000000001,98674.09999999999,89702.4,98674.09999999999,89702.4
RA-GRS Data Stored,Disaster Recovery Storage,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6
