SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
100 GB Capacity Reservation,,113150,94900,87600,94900,73000,73000,94900,73000
200 GB Capacity Reservation,,203670,170820,157680,170820,131400,131400,170820,131400
300 GB Capacity Reservation,,294190,246740,227760,246740,189800,189800,246740,189800
400 GB Capacity Reservation,,377161.8,316330.89999999997,292000,316330.89999999997,243330.9,243330.9,316330.89999999997,243330.9
500 GB Capacity Reservation,,452600,379600,350400,379600,292000,292000,379600,292000
Analysis,,2263,1898,1752,1898,1460,1460,1898,1460
