SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
CS28 Node,Azure VMware Solution by CloudSimple,,,,5774.3,4704.12,,4704.12,4704.12
CS28 Trial Node,Azure VMware Solution by CloudSimple,,,,,,,,0
CS36 Node,Azure VMware Solution by CloudSimple,,,,8251.92,6719.65,,6719.65,6719.65
CS36 Trial Node,Azure VMware Solution by CloudSimple,,,,,,,,0
CS36m Node,Azure VMware Solution by CloudSimple,,,,8012.4800000000005,6719.65,,6719.65,6719.65
CS36m Trial Node,Azure VMware Solution by CloudSimple,,,,,,,,0
