SKU,SubCategory,AP East,AP Southeast,EU North,EU West,US East,US East 2,US West,US West 2
vCore,Wrangling Data Flow - Compute Optimized,74.46,72.635,72.27000000000001,72.489,70.153,70.153,74.095,70.153
vCore,Data Flow - Compute Optimized,148.92,145.27,144.54000000000002,144.905,140.3425,140.3425,148.19,140.3425
vCore,Data Flow - Memory Optimized,266.26750000000004,252.21499999999997,250.2075,251.6675,250.2075,237.0675,250.025,237.0675
vCore,Data Flow - General Purpose,224.10999999999999,203.67000000000002,193.9975,195.64000000000001,199.4725,187.7925,196.9175,187.7925
vCore,Wrangling Data Flow - Memory Optimized,133.15200000000002,126.144,125.122,125.852,125.122,118.55199999999999,125.049,118.55199999999999
vCore,Wrangling Data Flow - General Purpose,112.05499999999999,101.83500000000001,97.017,97.82000000000001,99.718,93.878,98.47699999999999,93.878
